index,index,timeascustomer,driverage,insuranceaccess,insurancepremium,incidenttime,numvehiclesinvolved,numbodilyinjuries,policereportbool,totalclaimamount,vehicleage,driverexperience,educationlevel,accidenttype,incidentseverity,authoritiesinvolved,licencetype,drivergender,fraud
5853,5853,70,34,500,1470,13,3,1,1,10000,18,12,College,Multi-vehicle Collision,Major Loss,,Full,0.0,1
5854,5854,217,39,2000,1400,16,3,0,0,64920,18,17,MD,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5855,5855,38,60,1000,1041,16,3,0,1,9000,8,41,College,Multi-vehicle Collision,Major Loss,Fire,Full,0.0,0
5856,5856,63,47,2000,1347,19,1,1,1,10000,5,27,High School,Multi-vehicle Collision,Trivial Damage,Police,P1,0.0,0
5857,5857,115,37,500,1325,0,1,1,0,7000,15,20,Bachelor,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
5858,5858,64,30,2000,1681,16,1,2,0,4900,0,14,Bachelor,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
5859,5859,97,26,1000,1271,10,3,2,0,84920,9,8,PhD,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
5860,5860,350,50,500,889,14,3,0,0,44190,0,30,Masters,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
5861,5861,203,38,500,1394,7,1,0,1,55440,16,17,Masters,Single Vehicle Collision,Trivial Damage,Other,Full,0.0,0
5862,5862,111,47,1000,1322,14,1,1,1,6000,14,31,Masters,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5863,5863,28,45,500,1418,15,1,1,1,1000,20,24,High School,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5864,5864,99,52,2000,1196,20,1,1,1,10000,4,32,Masters,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
5865,5865,396,57,1000,1366,22,3,2,0,52560,20,38,High School,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
5866,5866,239,39,500,1397,0,4,0,0,76890,8,21,Bachelor,Single Vehicle Collision,Total Loss,,Full,0.0,0
5867,5867,289,43,1000,1388,19,3,1,0,68580,5,25,High School,Multi-vehicle Collision,Trivial Damage,Fire,Full,0.0,0
5868,5868,269,41,2000,1422,21,1,2,0,85900,10,19,College,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
5869,5869,245,40,500,885,0,1,0,0,85150,17,22,Bachelor,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
5870,5870,274,45,1000,1354,13,1,0,0,58500,20,29,Bachelor,Single Vehicle Collision,Major Damage,,Full,0.0,0
5871,5871,236,39,1000,1151,17,1,0,0,8700,12,17,PhD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5872,5872,69,27,500,995,13,1,1,1,7000,16,5,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,0
5873,5873,77,27,2000,966,1,3,0,0,67200,20,9,High School,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
5874,5874,371,52,1000,1243,2,2,2,0,88920,5,30,Associate,Vehicle Theft,Major Loss,Ambulance,Ls,0.0,0
5875,5875,80,46,1000,1632,11,3,1,1,7000,13,30,Masters,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5876,5876,3,38,1000,1311,20,1,0,0,87200,9,17,College,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5877,5877,475,61,500,1266,23,1,0,0,64350,17,43,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,1
5878,5878,75,37,1000,979,23,1,0,0,4000,3,16,MD,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,0
5879,5879,242,41,2000,1154,3,3,0,0,68090,6,22,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
5880,5880,61,54,2000,1298,14,3,1,0,7000,4,34,College,Single Vehicle Collision,Major Damage,Ambulance,P1,0.0,0
5881,5881,94,45,500,1382,11,1,1,1,10000,18,26,MD,Parked Car,Minor Loss,Ambulance,Full,0.0,0
5882,5882,72,34,500,1447,5,1,1,1,2000,16,16,Bachelor,Vehicle Theft,Major Damage,Ambulance,Full,0.0,0
5883,5883,299,44,1000,1653,3,1,2,0,54240,6,26,High School,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
5884,5884,109,30,1000,1153,23,1,1,1,3000,17,13,College,Single Vehicle Collision,Major Damage,Fire,Full,0.0,1
5885,5885,426,54,2000,1098,13,1,2,0,100800,18,38,Bachelor,Single Vehicle Collision,Minor Loss,,Full,0.0,0
5886,5886,78,64,500,978,18,1,1,1,8000,12,42,College,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
5887,5887,169,36,500,1616,0,3,2,0,77440,11,18,Associate,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,1
5888,5888,46,49,1000,1029,9,3,1,0,3000,16,31,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,1
5889,5889,200,34,1000,828,10,1,2,0,56000,6,13,Bachelor,Parked Car,Major Damage,,Full,0.0,1
5890,5890,95,30,2000,1371,22,1,0,0,34800,16,8,Masters,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
5891,5891,94,44,1000,995,8,3,0,1,2000,15,23,High School,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
5892,5892,99,25,1000,1031,10,1,1,0,1000,8,9,MD,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
5893,5893,413,55,2000,1269,15,1,2,0,98160,4,34,PhD,Multi-vehicle Collision,Minor Damage,Fire,Full,0.0,0
5894,5894,190,38,500,1246,14,1,0,0,45100,2,19,Masters,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
5895,5895,73,59,2000,1082,0,3,1,1,1000,12,38,MD,Vehicle Theft,Major Loss,Ambulance,Full,0.0,0
5896,5896,31,28,1000,881,9,2,1,1,4000,0,6,PhD,Parked Car,Total Loss,Ambulance,Full,0.0,0
5897,5897,38,45,1000,1228,16,3,0,1,8000,6,25,Bachelor,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
5898,5898,105,44,1000,1469,8,3,1,1,2000,8,27,MD,Vehicle Theft,Total Loss,Police,Full,0.0,0
5899,5899,20,54,1000,1614,5,1,1,0,3000,15,35,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,1
5900,5900,164,38,2000,1270,4,1,1,1,90000,0,17,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
5901,5901,230,41,1000,1464,19,3,2,0,53040,9,21,High School,Multi-vehicle Collision,Major Damage,Police,Full,0.0,0
5902,5902,17,40,1000,848,0,3,0,1,8000,4,23,High School,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5903,5903,380,53,2000,1167,23,1,0,0,5700,14,35,MD,Multi-vehicle Collision,Major Loss,,Full,0.0,0
5904,5904,74,60,2000,1440,5,2,1,1,3000,1,40,High School,Single Vehicle Collision,Major Loss,Other,Full,0.0,0
5905,5905,28,31,2000,1400,17,1,0,1,1000,2,12,Associate,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5906,5906,73,30,500,803,15,3,0,1,57000,2,12,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
5907,5907,33,50,500,1140,3,1,1,1,5000,3,32,Masters,Single Vehicle Collision,Major Loss,Fire,Full,0.0,0
5908,5908,82,31,500,864,6,1,1,1,3000,20,15,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,0
5909,5909,100,33,500,1125,4,1,1,0,40800,11,14,MD,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
5910,5910,14,36,500,1555,9,3,1,1,6000,19,20,Masters,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
5911,5911,200,35,2000,1318,13,1,0,1,6490,13,15,Bachelor,Multi-vehicle Collision,Major Damage,,Full,0.0,0
5912,5912,70,47,500,1202,5,3,0,1,1000,15,28,Bachelor,Multi-vehicle Collision,Major Damage,Fire,Full,0.0,0
5913,5913,76,54,500,1518,5,3,1,1,9000,6,34,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
5914,5914,22,42,500,852,10,4,0,1,2000,16,24,JD,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
5915,5915,130,30,2000,1193,16,3,2,0,48950,10,12,High School,Single Vehicle Collision,Minor Loss,Fire,Full,0.0,0
5916,5916,82,60,2000,1096,1,1,0,1,3000,8,41,Bachelor,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5917,5917,448,57,2000,1376,10,3,2,0,47760,2,37,High School,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
5918,5918,24,56,1000,970,0,3,1,0,10000,5,37,Masters,Parked Car,Minor Damage,Police,Full,0.0,0
5919,5919,103,58,2000,1677,8,3,1,1,8000,10,38,JD,Parked Car,Total Loss,,Full,0.0,0
5920,5920,15,26,1000,1381,5,3,1,1,4000,15,9,High School,Multi-vehicle Collision,Minor Damage,Other,Full,0.0,1
5921,5921,133,30,1000,1231,19,3,1,0,28440,8,9,Bachelor,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
5922,5922,174,33,2000,1124,14,3,0,1,44200,20,14,Bachelor,Single Vehicle Collision,Major Damage,,Full,0.0,0
5923,5923,266,46,500,1270,5,1,1,0,2160,11,26,MD,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
5924,5924,96,26,2000,1509,9,1,2,0,78320,8,5,MD,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
5925,5925,41,25,1000,1004,13,3,1,0,48000,20,3,Associate,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5926,5926,50,30,2000,874,10,3,1,1,2000,7,10,Masters,Single Vehicle Collision,Trivial Damage,Ambulance,Full,0.0,1
5927,5927,52,49,500,1068,1,1,1,0,2000,20,32,MD,Single Vehicle Collision,Minor Loss,,Full,0.0,0
5928,5928,211,35,500,1041,1,1,1,0,42000,4,14,JD,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5929,5929,51,25,500,1499,13,1,0,1,8000,13,7,High School,Multi-vehicle Collision,Total Loss,Police,P1,0.0,0
5930,5930,110,27,1000,1665,3,1,0,0,57500,5,8,Bachelor,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
5931,5931,91,46,500,1415,20,1,1,1,7000,16,28,PhD,Parked Car,Minor Damage,Ambulance,Full,0.0,0
5932,5932,371,54,2000,1318,18,3,1,0,32280,5,34,Masters,Multi-vehicle Collision,Total Loss,,Full,0.0,0
5933,5933,28,50,1000,1338,14,3,1,1,9000,0,32,College,Multi-vehicle Collision,Major Damage,,Full,0.0,0
5934,5934,103,56,1000,1153,14,4,1,1,8000,11,36,JD,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
5935,5935,128,30,1000,1061,8,1,0,0,68530,18,14,College,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
5936,5936,42,40,500,873,4,1,1,1,2000,14,19,PhD,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5937,5937,35,58,1000,842,13,1,1,1,5000,10,36,Masters,Multi-vehicle Collision,Major Loss,Fire,Full,0.0,0
5938,5938,102,47,500,1113,7,3,1,1,2000,7,29,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
5939,5939,64,25,1000,954,22,4,0,0,75600,10,4,High School,Multi-vehicle Collision,Minor Damage,Other,Full,0.0,0
5940,5940,25,42,500,1322,16,3,0,0,10000,11,24,College,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
5941,5941,87,48,500,913,13,1,1,1,9000,8,27,JD,Vehicle Theft,Major Damage,,Full,0.0,0
5942,5942,278,47,500,1285,21,1,2,1,58500,5,25,High School,Single Vehicle Collision,Minor Loss,Police,Full,0.0,0
5943,5943,9,43,1000,1677,19,1,1,1,8000,19,23,Bachelor,Vehicle Theft,Major Damage,,Full,0.0,0
5944,5944,163,38,2000,1454,13,1,2,0,79500,20,21,MD,Vehicle Theft,Minor Damage,,Full,0.0,0
5945,5945,71,48,500,950,4,1,0,1,8000,8,26,Associate,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
5946,5946,77,28,500,916,16,3,1,0,10000,9,7,Bachelor,Vehicle Theft,Minor Loss,Ambulance,Full,0.0,0
5947,5947,79,51,1000,1365,20,1,1,0,10000,6,32,College,Single Vehicle Collision,Minor Damage,Police,Full,0.0,1
5948,5948,398,58,500,991,18,1,2,0,99320,13,40,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
5949,5949,80,27,1000,1474,13,1,1,1,52800,11,6,PhD,Vehicle Theft,Minor Loss,Police,Full,0.0,0
5950,5950,80,49,500,1643,7,3,1,1,10000,5,27,JD,Single Vehicle Collision,Minor Loss,Other,Full,0.0,0
5951,5951,339,49,2000,1571,13,1,0,0,6820,6,30,High School,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5952,5952,93,43,1000,1102,10,3,1,1,4000,16,21,MD,Parked Car,Major Damage,Other,Full,0.0,0
5953,5953,264,43,500,1508,0,3,2,0,60750,0,25,PhD,Multi-vehicle Collision,Total Loss,,P2,0.0,0
5954,5954,179,32,2000,1247,10,1,0,0,53100,9,12,Masters,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
5955,5955,100,58,500,1111,19,3,1,0,1000,12,38,MD,Vehicle Theft,Total Loss,Other,Full,0.0,0
5956,5956,109,32,1000,1033,18,1,1,1,2000,1,15,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
5957,5957,106,56,2000,1466,10,2,0,1,2000,11,37,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5958,5958,12,25,1000,1114,18,1,1,0,4000,14,6,High School,Parked Car,Major Damage,Police,Full,0.0,0
5959,5959,18,43,2000,1144,6,1,0,0,7000,2,27,Associate,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
5960,5960,16,35,1000,1358,0,1,2,0,55000,7,16,College,Multi-vehicle Collision,Total Loss,,Full,0.0,0
5961,5961,57,33,500,898,22,3,1,1,1000,2,14,Bachelor,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
5962,5962,172,33,1000,1460,15,3,0,0,41690,16,17,MD,Multi-vehicle Collision,Trivial Damage,Ambulance,Full,0.0,0
5963,5963,86,42,500,1159,20,1,1,1,6000,13,21,Bachelor,Parked Car,Major Loss,Police,Full,0.0,0
5964,5964,49,60,2000,900,14,2,1,0,4000,13,40,Bachelor,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
5965,5965,115,62,500,1590,14,1,1,1,3000,7,42,Associate,Single Vehicle Collision,Major Loss,,Full,0.0,0
5966,5966,235,39,2000,1454,10,1,0,0,60320,3,21,Bachelor,Multi-vehicle Collision,Total Loss,,Full,0.0,1
5967,5967,51,45,1000,1358,2,1,1,1,1000,20,29,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5968,5968,50,61,1000,910,6,1,1,1,4000,14,44,Masters,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
5969,5969,103,29,2000,1255,6,3,1,0,8000,20,13,College,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,1
5970,5970,373,55,500,1607,21,4,0,0,60600,8,34,Bachelor,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
5971,5971,77,46,500,1032,0,1,1,1,9000,19,25,High School,Single Vehicle Collision,Minor Loss,Other,Full,0.0,0
5972,5972,79,25,500,1622,8,3,1,1,8000,11,5,Bachelor,Parked Car,Major Damage,,Full,0.0,0
5973,5973,68,51,2000,1211,1,1,0,1,4000,4,32,Bachelor,Single Vehicle Collision,Minor Loss,Fire,Full,0.0,0
5974,5974,94,62,500,1029,5,3,0,1,2000,13,45,Masters,Multi-vehicle Collision,Trivial Damage,Ambulance,Full,0.0,0
5975,5975,84,32,500,1694,0,1,0,0,57240,20,11,Associate,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5976,5976,50,39,2000,976,13,3,0,1,3000,0,20,High School,Multi-vehicle Collision,Major Damage,Other,Full,0.0,0
5977,5977,290,47,1000,1393,20,3,1,1,56160,13,27,PhD,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
5978,5978,270,45,500,1188,23,3,0,1,54340,10,26,High School,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
5979,5979,37,62,2000,1615,10,1,1,0,3000,16,42,High School,Single Vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
5980,5980,84,43,2000,1418,7,1,0,1,2000,10,22,Bachelor,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5981,5981,15,34,1000,1830,21,3,1,0,67650,6,13,PhD,Multi-vehicle Collision,Minor Loss,Police,Full,0.0,0
5982,5982,65,27,1000,1165,17,1,1,1,42840,11,7,High School,Single Vehicle Collision,Trivial Damage,Ambulance,Full,0.0,1
5983,5983,58,23,2000,1471,8,1,2,0,50380,8,7,College,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
5984,5984,98,37,2000,1544,10,1,0,0,4000,13,16,MD,Multi-vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
5985,5985,50,43,500,927,23,1,1,1,10000,14,21,Bachelor,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
5986,5986,259,45,2000,1175,23,1,1,0,87780,4,27,Masters,Parked Car,Total Loss,Police,Full,0.0,0
5987,5987,89,60,1000,1665,15,3,0,1,2000,7,39,Bachelor,Parked Car,Trivial Damage,Other,Full,0.0,0
5988,5988,119,36,1000,1429,0,1,1,1,6000,6,17,High School,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5989,5989,28,30,500,1544,19,1,1,1,3000,19,12,JD,Parked Car,Minor Loss,,Full,0.0,1
5990,5990,431,54,1000,1372,13,3,2,0,63240,18,32,High School,Vehicle Theft,Major Damage,,Full,0.0,0
5991,5991,128,35,500,1367,10,3,2,0,88220,7,16,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
5992,5992,99,58,1000,938,16,3,0,1,3000,17,41,College,Multi-vehicle Collision,Major Damage,Fire,Full,0.0,0
5993,5993,36,47,1000,1006,3,1,0,0,4000,19,25,High School,Single Vehicle Collision,Total Loss,Fire,Full,0.0,0
5994,5994,296,42,2000,1219,9,3,1,0,64080,3,21,Bachelor,Multi-vehicle Collision,Total Loss,Police,P2,0.0,0
5995,5995,20,50,2000,1248,20,1,1,1,9000,0,32,Bachelor,Vehicle Theft,Minor Damage,Ambulance,Full,0.0,0
5996,5996,99,45,1000,1667,8,1,0,0,4000,19,28,PhD,Multi-vehicle Collision,Minor Damage,Police,Full,0.0,1
5997,5997,224,40,2000,1292,21,1,1,1,69840,6,24,JD,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
5998,5998,137,31,2000,1340,6,3,1,0,50800,10,9,PhD,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
5999,5999,29,41,500,1157,12,1,0,1,1000,14,21,Masters,Single Vehicle Collision,Total Loss,,Full,0.0,1
6000,6000,100,51,1000,1040,3,1,1,1,4000,12,29,Bachelor,Multi-vehicle Collision,Major Damage,Other,Full,0.0,0
6001,6001,207,42,2000,1323,9,1,0,0,5900,8,23,College,Vehicle Theft,Total Loss,,Full,0.0,0
6002,6002,80,41,2000,1621,15,1,0,1,10000,10,25,High School,Parked Car,Total Loss,Police,Full,0.0,0
6003,6003,29,40,2000,1263,9,3,1,0,2000,13,21,PhD,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
6004,6004,285,47,1000,1217,8,1,1,0,2700,2,31,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,1
6005,6005,456,62,1000,1396,13,3,1,0,66480,3,41,JD,Multi-vehicle Collision,Major Loss,Ambulance,P2,0.0,0
6006,6006,108,38,1000,1134,9,3,1,0,5000,7,19,High School,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
6007,6007,49,39,1000,1542,11,1,1,0,8000,2,19,High School,Multi-vehicle Collision,Minor Loss,,Full,0.0,0
6008,6008,404,56,1000,1361,23,1,2,1,53100,10,34,Bachelor,Multi-vehicle Collision,Major Damage,Ambulance,Full,0.0,0
6009,6009,179,32,1000,1433,4,1,1,0,54200,1,12,High School,Multi-vehicle Collision,Total Loss,Fire,Full,0.0,0
6010,6010,354,48,2000,1526,12,1,2,1,90240,20,32,Associate,Single Vehicle Collision,Major Loss,Police,Full,0.0,0
6011,6011,210,37,500,1468,8,1,1,1,63300,15,19,Masters,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,0
6012,6012,48,60,1000,1103,11,3,0,1,9000,8,40,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
6013,6013,52,58,500,925,17,3,1,1,7000,13,41,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
6014,6014,460,62,1000,1188,20,3,1,0,47160,4,45,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
6015,6015,78,31,1000,1377,1,3,2,0,52290,18,9,High School,Single Vehicle Collision,Minor Damage,Ambulance,Full,0.0,0
6016,6016,41,25,1000,1227,12,3,2,0,45120,4,3,MD,Single Vehicle Collision,Major Loss,,Full,0.0,0
6017,6017,223,43,500,1235,14,1,2,0,54400,4,27,PhD,Multi-vehicle Collision,Major Loss,Other,Full,0.0,0
6018,6018,193,41,500,847,1,1,1,1,112320,4,23,Masters,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
6019,6019,292,44,500,1098,12,1,1,1,61700,10,27,High School,Single Vehicle Collision,Trivial Damage,Other,Full,0.0,0
6020,6020,51,47,2000,1503,14,3,0,1,10000,9,31,Associate,Multi-vehicle Collision,Minor Loss,Other,Full,0.0,0
6021,6021,421,56,500,1936,7,1,2,0,92730,11,40,College,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
6022,6022,48,33,1000,1039,6,2,1,0,8000,17,12,MD,Parked Car,Total Loss,Ambulance,Full,0.0,0
6023,6023,161,38,2000,1134,0,3,2,1,60480,12,21,JD,Multi-vehicle Collision,Total Loss,Other,Full,0.0,0
6024,6024,54,43,2000,1011,22,1,0,0,1000,20,23,College,Multi-vehicle Collision,Total Loss,Ambulance,Full,0.0,0
6025,6025,94,26,1000,1024,18,1,1,1,1000,2,5,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
6026,6026,33,37,1000,1512,10,1,1,1,9000,6,20,Bachelor,Single Vehicle Collision,Total Loss,Police,Full,0.0,0
6027,6027,189,36,2000,1389,17,3,1,1,79560,6,14,High School,Vehicle Theft,Total Loss,Ambulance,Full,0.0,0
6028,6028,126,30,2000,916,16,3,2,0,74160,13,13,MD,Multi-vehicle Collision,Total Loss,,Full,0.0,0
6029,6029,87,44,1000,885,10,1,1,0,7000,3,24,PhD,Multi-vehicle Collision,Minor Damage,Fire,Full,0.0,0
6030,6030,54,58,500,1674,6,3,0,0,9000,18,39,Bachelor,Single Vehicle Collision,Total Loss,,Full,0.0,0
6031,6031,18,28,500,937,11,1,1,1,2000,16,11,High School,Single Vehicle Collision,Total Loss,,Full,0.0,0
6032,6032,446,61,1000,1233,3,1,2,1,70500,8,45,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,0
6033,6033,67,52,2000,885,23,3,1,1,1000,2,30,Bachelor,Multi-vehicle Collision,Minor Loss,Fire,P2,0.0,1
6034,6034,350,54,500,1495,15,3,0,0,93480,1,38,JD,Vehicle Theft,Major Loss,Fire,Full,0.0,0
6035,6035,269,44,2000,1081,14,1,0,0,56400,1,27,Bachelor,Multi-vehicle Collision,Total Loss,,Full,0.0,0
6036,6036,114,36,1000,849,13,1,1,0,3000,1,14,High School,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
6037,6037,175,34,500,915,14,1,2,1,36720,6,15,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
6038,6038,55,43,500,1182,16,1,0,1,5000,16,21,Bachelor,Multi-vehicle Collision,Major Damage,,Full,0.0,1
6039,6039,46,48,2000,1351,22,1,1,0,9000,2,31,Bachelor,Single Vehicle Collision,Total Loss,Ambulance,Full,0.0,0
6040,6040,59,48,1000,1320,18,1,1,1,3000,2,27,Masters,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
6041,6041,21,58,1000,1206,21,3,0,1,2000,2,37,College,Multi-vehicle Collision,Minor Damage,,Full,0.0,0
6042,6042,234,41,500,952,3,3,2,0,98280,8,25,High School,Multi-vehicle Collision,Major Loss,Police,Full,0.0,1
6043,6043,112,32,1000,950,0,3,1,0,7000,1,15,Bachelor,Single Vehicle Collision,Minor Loss,,Full,0.0,0
6044,6044,78,40,2000,1556,0,1,1,1,9000,15,22,Masters,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
6045,6045,12,31,500,1444,15,4,0,1,7000,1,13,Bachelor,Single Vehicle Collision,Major Damage,Police,Full,0.0,0
6046,6046,102,35,1000,1207,6,1,1,1,10000,8,18,Bachelor,Single Vehicle Collision,Major Loss,Ambulance,Full,0.0,0
6047,6047,45,43,2000,1396,16,1,1,1,1000,4,24,PhD,Single Vehicle Collision,Minor Loss,Fire,Full,0.0,0
6048,6048,369,55,2000,1590,6,3,2,1,85300,12,36,College,Multi-vehicle Collision,Total Loss,,Full,0.0,0
6049,6049,73,54,1000,1024,14,1,1,1,6000,3,34,Masters,Parked Car,Minor Damage,Ambulance,Full,0.0,0
6050,6050,37,23,500,1476,17,3,1,0,51660,5,7,PhD,Multi-vehicle Collision,Total Loss,Police,Full,0.0,1
6051,6051,45,37,1000,1114,1,1,0,1,52200,10,17,High School,Single Vehicle Collision,Minor Damage,Police,Full,0.0,0
6052,6052,213,35,500,871,13,1,2,1,74140,8,14,Bachelor,Parked Car,Total Loss,Police,P2,0.0,0
6053,6053,59,25,1000,1223,10,3,1,1,6000,12,6,Bachelor,Single Vehicle Collision,Major Damage,Ambulance,Full,0.0,0
6054,6054,82,30,1000,1212,13,1,0,1,8000,9,11,High School,Multi-vehicle Collision,Major Loss,Other,Full,0.0,1
6055,6055,20,23,1000,1712,21,3,2,0,63250,13,2,Associate,Multi-vehicle Collision,Major Loss,Ambulance,Full,0.0,0
6056,6056,20,38,500,1377,5,2,0,0,3000,13,16,MD,Parked Car,Minor Loss,,Full,0.0,0
6057,6057,54,35,500,1261,21,3,2,0,79090,3,19,Bachelor,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
6058,6058,215,42,500,1849,20,3,2,1,68520,12,25,College,Single Vehicle Collision,Major Loss,Police,Full,0.0,1
6059,6059,31,28,2000,913,23,1,1,1,3000,18,7,College,Parked Car,Minor Loss,Police,Full,0.0,0
6060,6060,58,48,2000,1667,17,1,1,0,7000,14,27,College,Single Vehicle Collision,Total Loss,Police,Full,0.0,1
6061,6061,293,45,1000,1119,13,3,1,0,51210,0,24,Masters,Multi-vehicle Collision,Total Loss,Police,Full,0.0,0
6062,6062,8,38,2000,934,9,1,1,1,3000,6,19,Bachelor,Multi-vehicle Collision,Major Loss,,Full,0.0,0
6063,6063,22,25,2000,1053,0,4,1,0,77130,20,9,College,Multi-vehicle Collision,Minor Loss,Fire,Full,0.0,1
6064,6064,41,38,2000,1062,11,1,1,1,5000,2,20,Bachelor,Multi-vehicle Collision,Minor Loss,Ambulance,Full,0.0,0
6065,6065,53,52,1000,1478,12,3,1,1,3000,16,31,High School,Single Vehicle Collision,Trivial Damage,Fire,Full,0.0,0
6066,6066,68,54,2000,1422,17,1,1,0,9000,16,38,Associate,Single Vehicle Collision,Major Damage,Fire,Full,0.0,0
6067,6067,42,48,2000,1349,15,3,0,1,4000,11,26,Masters,Multi-vehicle Collision,Total Loss,,Full,0.0,1
