accidentType,authoritiesInvolved,driverAge,driverExperience,driverGender,educationLevel,incidentSeverity,incidentTime,index,insuranceAccess,insurancePremium,licenceType,numBodilyInjuries,numVehiclesInvolved,policeReportBool,timeAsCustomer,totalClaimAmount,vehicleAge,fraud
Parked Car,Police,38.0,20.0,0.0,Associate,Trivial Damage,22.0,682.0,2000.0,566.0,Full,-0.0,1.0,0.0,32.0,2640.0,-0.0,0
Multi-vehicle Collision,Fire,38.0,19.0,0.0,High School,Major Damage,23.0,896.0,500.0,1368.0,Full,-0.0,3.0,-0.0,156.0,55200.0,17.0,1
Vehicle Theft,,30.0,8.0,1.0,Masters,Minor Damage,3.0,812.0,1000.0,1173.0,Full,-0.0,1.0,1.0,114.0,4680.0,2.0,0
Parked Car,Other,52.0,33.0,,Bachelor,Minor Loss,21.0,2327.0,1000.0,1502.0,Full,1.0,1.0,1.0,113.0,1000.0,4.0,0
Single Vehicle Collision,Ambulance,55.0,34.0,,High School,Total Loss,22.0,2219.0,2000.0,999.0,Full,1.0,1.0,1.0,70.0,5000.0,10.0,0
Single Vehicle Collision,Police,35.0,18.0,,High School,Major Loss,18.0,2479.0,2000.0,1173.0,Full,-0.0,1.0,1.0,110.0,3000.0,5.0,0
Multi-vehicle Collision,Police,47.0,28.0,,Bachelor,Major Loss,13.0,1734.0,1000.0,1115.0,Full,1.0,3.0,1.0,83.0,7000.0,3.0,1
Single Vehicle Collision,Police,29.0,8.0,1.0,JD,Minor Damage,15.0,501.0,500.0,855.0,Full,2.0,1.0,1.0,1.0,86790.0,12.0,0
Multi-vehicle Collision,Fire,46.0,25.0,1.0,JD,Minor Damage,2.0,771.0,500.0,1302.0,Full,1.0,3.0,-0.0,255.0,57860.0,4.0,0
Multi-vehicle Collision,Ambulance,58.0,37.0,,Masters,Total Loss,10.0,2358.0,2000.0,1432.0,Full,0.0,3.0,-0.0,8.0,8000.0,1.0,0
Multi-vehicle Collision,Ambulance,43.0,21.0,0.0,PhD,Minor Damage,5.0,216.0,1000.0,1279.0,Full,1.0,3.0,1.0,272.0,81070.0,9.0,0
Multi-vehicle Collision,Ambulance,49.0,31.0,,Bachelor,Minor Loss,9.0,1650.0,1000.0,1029.0,Full,1.0,3.0,0.0,46.0,3000.0,16.0,0
Multi-vehicle Collision,Other,62.0,41.0,1.0,MD,Major Damage,13.0,713.0,1000.0,1396.0,Full,1.0,3.0,-0.0,456.0,66480.0,3.0,0
Single Vehicle Collision,Other,39.0,22.0,,High School,Major Loss,6.0,1037.0,500.0,1560.0,Full,0.0,1.0,1.0,17.0,4000.0,8.0,0
Multi-vehicle Collision,Fire,46.0,27.0,1.0,High School,Minor Damage,21.0,139.0,500.0,1349.0,Full,1.0,3.0,1.0,325.0,76120.0,16.0,0
Parked Car,,32.0,12.0,1.0,Masters,Minor Damage,19.0,58.0,1000.0,1415.0,Full,1.0,1.0,0.0,94.0,2400.0,1.0,0
Multi-vehicle Collision,Police,62.0,41.0,,High School,Total Loss,6.0,1942.0,500.0,1540.0,Full,1.0,3.0,0.0,32.0,7000.0,14.0,0
Single Vehicle Collision,,46.0,28.0,,High School,Major Loss,20.0,1335.0,500.0,1415.0,Full,1.0,1.0,1.0,91.0,7000.0,16.0,0
Single Vehicle Collision,Other,34.0,15.0,1.0,JD,Major Damage,14.0,306.0,500.0,915.0,Full,2.0,1.0,1.0,175.0,36720.0,6.0,0
Multi-vehicle Collision,Fire,39.0,20.0,1.0,PhD,Major Damage,19.0,6.0,1000.0,1351.0,Full,0.0,3.0,0.0,256.0,64100.0,12.0,0
Parked Car,Ambulance,64.0,45.0,,College,Total Loss,23.0,2050.0,1000.0,1208.0,Full,1.0,1.0,1.0,17.0,5000.0,17.0,0
Parked Car,Police,51.0,30.0,,Masters,Total Loss,2.0,2189.0,1000.0,1261.0,Full,1.0,1.0,1.0,10.0,9000.0,0.0,0
Single Vehicle Collision,Ambulance,33.0,11.0,1.0,JD,Major Damage,21.0,390.0,1000.0,1142.0,Full,1.0,1.0,0.0,126.0,54160.0,6.0,0
Single Vehicle Collision,Ambulance,63.0,44.0,,Bachelor,Minor Loss,-0.0,1657.0,500.0,1516.0,Full,0.0,1.0,1.0,18.0,2000.0,8.0,0
Single Vehicle Collision,Ambulance,58.0,38.0,,High School,Major Loss,4.0,1379.0,500.0,1414.0,Full,1.0,1.0,1.0,27.0,4000.0,16.0,0
Single Vehicle Collision,Ambulance,41.0,24.0,1.0,Associate,Minor Damage,10.0,73.0,1000.0,896.0,Full,1.0,1.0,0.0,199.0,30100.0,16.0,0
Single Vehicle Collision,Police,55.0,37.0,,Bachelor,Major Loss,5.0,1895.0,2000.0,1097.0,Full,1.0,1.0,1.0,102.0,10000.0,20.0,0
Multi-vehicle Collision,,50.0,30.0,,Masters,Major Loss,14.0,2379.0,1000.0,1070.0,Full,-0.0,3.0,-0.0,95.0,10000.0,1.0,1
Single Vehicle Collision,Police,43.0,25.0,1.0,PhD,Major Damage,23.0,899.0,500.0,912.0,Full,-0.0,1.0,0.0,237.0,59200.0,17.0,0
Multi-vehicle Collision,Police,55.0,33.0,,Bachelor,Major Loss,20.0,1173.0,1000.0,1660.0,Full,-0.0,2.0,1.0,86.0,9000.0,17.0,0
Vehicle Theft,,29.0,11.0,0.0,High School,Trivial Damage,14.0,821.0,1000.0,1727.0,Full,0.0,1.0,-0.0,65.0,7200.0,16.0,0
Single Vehicle Collision,Ambulance,27.0,11.0,,High School,Total Loss,-0.0,2485.0,500.0,1122.0,Full,1.0,1.0,1.0,107.0,6000.0,10.0,0
Multi-vehicle Collision,Fire,31.0,15.0,1.0,MD,Major Damage,2.0,174.0,500.0,1229.0,Full,0.0,3.0,1.0,8.0,48100.0,1.0,0
Multi-vehicle Collision,Police,50.0,31.0,1.0,High School,Minor Damage,5.0,765.0,1000.0,1561.0,Full,1.0,3.0,-0.0,366.0,70290.0,3.0,0
Multi-vehicle Collision,,43.0,23.0,,College,Major Loss,11.0,1116.0,500.0,966.0,Full,1.0,3.0,0.0,64.0,2000.0,10.0,0
Parked Car,Ambulance,55.0,36.0,,Bachelor,Major Loss,1.0,2395.0,1000.0,1663.0,Full,1.0,1.0,1.0,69.0,6000.0,12.0,0
Single Vehicle Collision,Ambulance,33.0,14.0,-0.0,MD,Minor Damage,21.0,400.0,1000.0,970.0,Full,1.0,1.0,1.0,103.0,76920.0,13.0,0
Multi-vehicle Collision,Ambulance,56.0,37.0,,Masters,Major Loss,-0.0,1716.0,1000.0,1509.0,Full,0.0,3.0,1.0,109.0,4000.0,14.0,0
Multi-vehicle Collision,Fire,23.0,2.0,1.0,JD,Major Damage,21.0,255.0,1000.0,1712.0,P1,2.0,3.0,0.0,20.0,63250.0,13.0,0
Single Vehicle Collision,Ambulance,41.0,23.0,,Bachelor,Major Loss,16.0,2371.0,2000.0,932.0,Full,1.0,1.0,1.0,8.0,9000.0,16.0,0
Multi-vehicle Collision,Ambulance,40.0,23.0,,Masters,Major Loss,10.0,1759.0,2000.0,1482.0,Full,1.0,4.0,-0.0,98.0,8000.0,18.0,0
Single Vehicle Collision,Ambulance,63.0,44.0,,Bachelor,Minor Loss,5.0,1139.0,1000.0,1263.0,Full,0.0,1.0,-0.0,92.0,7000.0,8.0,0
Multi-vehicle Collision,Ambulance,61.0,40.0,1.0,Associate,Major Damage,3.0,361.0,2000.0,1619.0,Full,2.0,3.0,1.0,451.0,78100.0,18.0,0
Multi-vehicle Collision,Police,50.0,32.0,,Bachelor,Total Loss,4.0,1428.0,500.0,1358.0,Full,1.0,3.0,1.0,68.0,5000.0,4.0,0
Multi-vehicle Collision,Police,47.0,29.0,0.0,College,Total Loss,22.0,78.0,500.0,1307.0,Full,-0.0,3.0,-0.0,319.0,59730.0,10.0,0
Single Vehicle Collision,Other,33.0,13.0,-0.0,Associate,Total Loss,23.0,901.0,2000.0,1392.0,Full,-0.0,1.0,0.0,1.0,69400.0,15.0,0
Multi-vehicle Collision,Ambulance,30.0,9.0,,Bachelor,Minor Loss,17.0,1966.0,1000.0,1347.0,Full,0.0,3.0,1.0,61.0,3000.0,8.0,0
Multi-vehicle Collision,Ambulance,54.0,37.0,,Bachelor,Minor Loss,5.0,1359.0,500.0,1411.0,Full,1.0,2.0,1.0,74.0,1000.0,8.0,0
Multi-vehicle Collision,,50.0,30.0,,Masters,Major Loss,14.0,2379.0,1000.0,1070.0,Full,-0.0,3.0,-0.0,95.0,10000.0,1.0,0
Single Vehicle Collision,Police,39.0,22.0,0.0,Masters,Major Damage,0.0,502.0,1000.0,771.0,Full,0.0,1.0,-0.0,26.0,49800.0,0.0,0
Parked Car,Police,42.0,23.0,,Bachelor,Total Loss,7.0,2102.0,500.0,1150.0,Full,1.0,1.0,1.0,22.0,7000.0,16.0,0
Multi-vehicle Collision,Police,44.0,23.0,,Masters,Total Loss,3.0,2516.0,1000.0,1264.0,Full,1.0,3.0,1.0,79.0,1000.0,3.0,0
Single Vehicle Collision,Ambulance,35.0,17.0,0.0,Masters,Total Loss,11.0,427.0,1000.0,1346.0,Full,0.0,1.0,0.0,210.0,58200.0,2.0,0
Multi-vehicle Collision,Ambulance,48.0,32.0,,Bachelor,Total Loss,22.0,1375.0,2000.0,1459.0,Full,-0.0,3.0,1.0,7.0,4000.0,2.0,0
Single Vehicle Collision,Police,25.0,6.0,,High School,Major Loss,18.0,1157.0,2000.0,1211.0,Full,1.0,1.0,1.0,78.0,3000.0,16.0,0
Multi-vehicle Collision,Other,33.0,12.0,,College,Minor Loss,6.0,2356.0,1000.0,1039.0,Full,1.0,2.0,-0.0,48.0,8000.0,17.0,0
Single Vehicle Collision,Fire,40.0,20.0,0.0,Masters,Minor Damage,17.0,409.0,2000.0,1191.0,Full,1.0,1.0,1.0,275.0,43230.0,14.0,0
Single Vehicle Collision,Police,43.0,23.0,,College,Total Loss,5.0,2456.0,500.0,1121.0,Full,-0.0,1.0,0.0,109.0,7000.0,3.0,0
Multi-vehicle Collision,Other,58.0,40.0,1.0,MD,Major Damage,12.0,16.0,2000.0,1131.0,Full,0.0,4.0,-0.0,473.0,63120.0,16.0,0
Multi-vehicle Collision,Police,41.0,20.0,,Masters,Major Loss,8.0,1530.0,1000.0,1145.0,Full,1.0,3.0,0.0,91.0,1000.0,16.0,0
Parked Car,,37.0,15.0,,Bachelor,Minor Loss,6.0,1211.0,1000.0,899.0,Full,1.0,1.0,1.0,89.0,1000.0,1.0,0
Single Vehicle Collision,Police,49.0,32.0,,Bachelor,Minor Loss,16.0,1023.0,500.0,969.0,Full,-0.0,1.0,1.0,9.0,4000.0,18.0,0
Multi-vehicle Collision,Police,57.0,37.0,1.0,PhD,Major Damage,10.0,463.0,2000.0,1376.0,Full,2.0,3.0,-0.0,448.0,47760.0,2.0,0
Single Vehicle Collision,Other,33.0,16.0,,High School,Total Loss,20.0,1627.0,1000.0,918.0,Full,1.0,1.0,1.0,56.0,4000.0,15.0,0
Single Vehicle Collision,Other,42.0,21.0,,High School,Total Loss,11.0,2487.0,2000.0,1320.0,Full,1.0,1.0,1.0,23.0,10000.0,2.0,0
Parked Car,Other,38.0,21.0,,High School,Minor Loss,3.0,1448.0,500.0,1376.0,Full,1.0,1.0,0.0,25.0,2000.0,2.0,0
Single Vehicle Collision,Police,53.0,34.0,,Bachelor,Minor Loss,11.0,1896.0,1000.0,1227.0,Full,1.0,1.0,1.0,28.0,5000.0,17.0,0
Parked Car,,37.0,17.0,0.0,High School,Minor Damage,18.0,170.0,2000.0,1242.0,Full,1.0,1.0,-0.0,47.0,6700.0,4.0,0
Multi-vehicle Collision,Other,25.0,9.0,1.0,High School,Major Damage,11.0,189.0,500.0,920.0,Full,1.0,3.0,0.0,81.0,73920.0,12.0,0
Multi-vehicle Collision,Other,29.0,7.0,-0.0,College,Total Loss,15.0,173.0,1000.0,1448.0,Full,1.0,3.0,-0.0,73.0,44910.0,14.0,0
Multi-vehicle Collision,Police,50.0,30.0,1.0,MD,Major Damage,18.0,969.0,2000.0,1369.0,Full,2.0,3.0,1.0,372.0,51800.0,12.0,0
Single Vehicle Collision,Ambulance,46.0,30.0,-0.0,College,Minor Damage,17.0,710.0,2000.0,1090.0,Full,1.0,1.0,0.0,276.0,51390.0,8.0,1
Multi-vehicle Collision,Police,41.0,25.0,1.0,Associate,Total Loss,18.0,381.0,2000.0,1724.0,Full,1.0,3.0,0.0,265.0,44200.0,1.0,0
Multi-vehicle Collision,Ambulance,32.0,11.0,-0.0,College,Minor Damage,6.0,498.0,1000.0,1377.0,Full,1.0,4.0,-0.0,-0.0,39720.0,13.0,0
Parked Car,,28.0,6.0,,Bachelor,Major Loss,9.0,2249.0,500.0,947.0,Full,-0.0,1.0,1.0,69.0,9000.0,5.0,0
Multi-vehicle Collision,Other,42.0,24.0,1.0,Masters,Total Loss,7.0,233.0,500.0,1073.0,Full,2.0,4.0,1.0,235.0,69100.0,9.0,0
Single Vehicle Collision,Fire,26.0,5.0,1.0,High School,Minor Damage,14.0,217.0,2000.0,925.0,Full,2.0,1.0,0.0,69.0,63120.0,7.0,0
Single Vehicle Collision,Other,44.0,22.0,,College,Major Loss,6.0,1467.0,1000.0,1475.0,Full,0.0,1.0,1.0,48.0,1000.0,9.0,0
Parked Car,Police,44.0,28.0,,Bachelor,Minor Loss,23.0,2260.0,2000.0,1669.0,Full,-0.0,1.0,1.0,56.0,2000.0,-0.0,0
Single Vehicle Collision,Fire,28.0,10.0,1.0,JD,Minor Damage,19.0,247.0,1000.0,1341.0,Full,0.0,1.0,1.0,2.0,58140.0,7.0,0
Single Vehicle Collision,Ambulance,33.0,15.0,,Bachelor,Total Loss,1.0,2545.0,2000.0,886.0,Full,0.0,1.0,1.0,18.0,2000.0,-0.0,0
Multi-vehicle Collision,Ambulance,34.0,17.0,1.0,PhD,Major Damage,4.0,639.0,500.0,1296.0,Full,1.0,3.0,-0.0,34.0,50800.0,18.0,1
Parked Car,Police,35.0,13.0,,High School,Minor Loss,7.0,2034.0,1000.0,879.0,Full,1.0,1.0,1.0,20.0,1000.0,5.0,0
Single Vehicle Collision,,63.0,44.0,,MD,Minor Loss,15.0,1778.0,500.0,1529.0,Full,1.0,1.0,1.0,23.0,3000.0,1.0,0
Multi-vehicle Collision,Other,33.0,12.0,,College,Minor Loss,6.0,2356.0,1000.0,1039.0,Full,1.0,2.0,-0.0,48.0,8000.0,17.0,0
Single Vehicle Collision,Ambulance,32.0,12.0,,Bachelor,Total Loss,18.0,2020.0,500.0,1106.0,Full,1.0,1.0,1.0,19.0,3000.0,8.0,0
Single Vehicle Collision,,53.0,34.0,,High School,Total Loss,7.0,1591.0,2000.0,1441.0,Full,1.0,1.0,0.0,89.0,10000.0,1.0,0
Multi-vehicle Collision,Ambulance,40.0,23.0,,Masters,Minor Loss,1.0,1151.0,2000.0,1531.0,Full,0.0,2.0,1.0,92.0,3000.0,2.0,0
Single Vehicle Collision,,36.0,20.0,,MD,Major Loss,23.0,1221.0,2000.0,1383.0,Full,1.0,1.0,1.0,60.0,8000.0,6.0,0
Single Vehicle Collision,Other,31.0,15.0,0.0,Masters,Minor Damage,3.0,602.0,500.0,672.0,Full,2.0,1.0,0.0,98.0,64080.0,18.0,0
Single Vehicle Collision,Police,34.0,15.0,,High School,Major Loss,19.0,1371.0,500.0,1374.0,Full,1.0,1.0,0.0,96.0,6000.0,20.0,0
Parked Car,Police,53.0,32.0,-0.0,Associate,Trivial Damage,8.0,210.0,500.0,767.0,Full,0.0,1.0,-0.0,404.0,8800.0,13.0,0
Single Vehicle Collision,Police,31.0,9.0,-0.0,High School,Total Loss,9.0,18.0,500.0,709.0,Full,0.0,1.0,1.0,140.0,77880.0,-0.0,0
Multi-vehicle Collision,Police,48.0,30.0,1.0,MD,Total Loss,21.0,785.0,2000.0,1018.0,Full,0.0,3.0,1.0,335.0,35860.0,10.0,0
Single Vehicle Collision,,55.0,37.0,,College,Minor Loss,21.0,2236.0,1000.0,1216.0,Full,0.0,1.0,1.0,102.0,6000.0,16.0,0
Vehicle Theft,,44.0,25.0,-0.0,Associate,Minor Damage,20.0,5.0,1000.0,1584.0,Full,-0.0,1.0,0.0,228.0,6500.0,6.0,0
Multi-vehicle Collision,Other,38.0,21.0,-0.0,PhD,Total Loss,1.0,465.0,1000.0,1601.0,Full,2.0,3.0,-0.0,43.0,61650.0,9.0,0
Single Vehicle Collision,Ambulance,31.0,15.0,,Bachelor,Minor Loss,6.0,1385.0,500.0,882.0,Full,-0.0,1.0,1.0,112.0,4000.0,14.0,0
Single Vehicle Collision,Other,35.0,16.0,-0.0,JD,Total Loss,0.0,603.0,1000.0,1358.0,Full,2.0,1.0,-0.0,16.0,55000.0,7.0,0
Multi-vehicle Collision,Ambulance,54.0,34.0,,PhD,Total Loss,5.0,1999.0,500.0,1518.0,Full,1.0,3.0,1.0,76.0,9000.0,6.0,0
Single Vehicle Collision,Other,44.0,27.0,0.0,PhD,Total Loss,12.0,360.0,500.0,1098.0,Full,1.0,1.0,1.0,292.0,61700.0,10.0,0
Vehicle Theft,Ambulance,41.0,24.0,,High School,Major Loss,9.0,2122.0,1000.0,1589.0,Full,1.0,1.0,1.0,108.0,5000.0,16.0,0
Parked Car,Police,41.0,22.0,,High School,Minor Loss,3.0,2084.0,1000.0,1203.0,Full,1.0,1.0,1.0,48.0,8000.0,11.0,0
Multi-vehicle Collision,,57.0,41.0,,Bachelor,Total Loss,23.0,1174.0,1000.0,1243.0,Full,1.0,4.0,0.0,119.0,7000.0,9.0,0
Single Vehicle Collision,Other,38.0,22.0,-0.0,MD,Total Loss,8.0,127.0,2000.0,1589.0,Full,-0.0,1.0,-0.0,166.0,40320.0,14.0,0
Single Vehicle Collision,Police,64.0,45.0,,High School,Major Loss,3.0,1040.0,2000.0,1127.0,Full,-0.0,1.0,1.0,117.0,2000.0,11.0,0
Parked Car,Other,52.0,33.0,,Bachelor,Minor Loss,21.0,2327.0,1000.0,1502.0,Full,1.0,1.0,1.0,113.0,1000.0,4.0,0
Single Vehicle Collision,Other,62.0,42.0,-0.0,Associate,Major Damage,2.0,999.0,2000.0,1357.0,Full,-0.0,1.0,1.0,458.0,46980.0,17.0,0
Single Vehicle Collision,Fire,44.0,25.0,1.0,College,Total Loss,19.0,540.0,2000.0,1009.0,Full,0.0,1.0,1.0,230.0,74140.0,0.0,1
Single Vehicle Collision,Police,53.0,36.0,,High School,Major Loss,-0.0,2271.0,2000.0,1474.0,Full,1.0,1.0,1.0,115.0,1000.0,7.0,0
Single Vehicle Collision,Ambulance,48.0,28.0,-0.0,College,Major Damage,10.0,662.0,1000.0,1626.0,Full,1.0,1.0,-0.0,330.0,59500.0,9.0,0
Parked Car,Police,26.0,7.0,,Bachelor,Total Loss,17.0,1998.0,500.0,945.0,Full,-0.0,1.0,-0.0,42.0,3000.0,16.0,0
Parked Car,Police,26.0,7.0,,Bachelor,Total Loss,17.0,1998.0,500.0,945.0,Full,0.0,1.0,0.0,42.0,3000.0,16.0,0
Multi-vehicle Collision,Police,61.0,42.0,-0.0,JD,Minor Damage,10.0,157.0,2000.0,1403.0,Full,2.0,3.0,1.0,461.0,72100.0,9.0,1
Multi-vehicle Collision,Ambulance,29.0,9.0,-0.0,JD,Total Loss,6.0,490.0,500.0,1304.0,Full,-0.0,3.0,-0.0,19.0,75400.0,10.0,0
Multi-vehicle Collision,Fire,30.0,9.0,-0.0,College,Minor Damage,19.0,788.0,1000.0,1231.0,Full,1.0,3.0,-0.0,133.0,28440.0,8.0,0
Multi-vehicle Collision,Police,42.0,26.0,,Bachelor,Major Loss,-0.0,1991.0,500.0,882.0,Full,1.0,3.0,1.0,35.0,4000.0,14.0,0
Multi-vehicle Collision,Ambulance,42.0,26.0,,PhD,Major Loss,22.0,1702.0,500.0,1006.0,Full,1.0,3.0,1.0,21.0,3000.0,4.0,0
Single Vehicle Collision,Police,64.0,46.0,,College,Minor Loss,9.0,1647.0,2000.0,1471.0,Full,1.0,1.0,1.0,117.0,9000.0,19.0,0
Vehicle Theft,,64.0,46.0,,High School,Minor Loss,6.0,1442.0,1000.0,1347.0,Full,-0.0,1.0,1.0,31.0,8000.0,15.0,0
Multi-vehicle Collision,,30.0,8.0,,Bachelor,Major Loss,16.0,1390.0,500.0,1599.0,Full,1.0,3.0,1.0,54.0,8000.0,-0.0,0
Vehicle Theft,Police,64.0,44.0,,High School,Total Loss,7.0,1641.0,500.0,1549.0,Full,-0.0,1.0,1.0,81.0,9000.0,17.0,0
Single Vehicle Collision,Police,44.0,25.0,,High School,Major Loss,22.0,2279.0,2000.0,1346.0,Full,1.0,1.0,1.0,27.0,4000.0,2.0,0
Parked Car,Police,29.0,7.0,1.0,High School,Trivial Damage,6.0,412.0,1000.0,1117.0,Full,2.0,1.0,1.0,84.0,6820.0,10.0,0
Single Vehicle Collision,Other,39.0,22.0,,High School,Major Loss,6.0,1037.0,500.0,1560.0,Full,0.0,1.0,1.0,17.0,4000.0,8.0,0
Multi-vehicle Collision,Police,39.0,19.0,1.0,College,Minor Damage,7.0,726.0,2000.0,838.0,Full,2.0,3.0,1.0,189.0,64400.0,18.0,0
Parked Car,Ambulance,39.0,18.0,,Bachelor,Major Loss,19.0,2254.0,1000.0,1194.0,Full,1.0,1.0,1.0,114.0,3000.0,9.0,1
Parked Car,Ambulance,35.0,13.0,,Bachelor,Major Loss,2.0,1861.0,2000.0,1610.0,Full,0.0,1.0,1.0,21.0,5000.0,10.0,0
Parked Car,,25.0,8.0,,Bachelor,Major Loss,17.0,1479.0,2000.0,1285.0,Full,1.0,1.0,1.0,88.0,10000.0,20.0,0
Multi-vehicle Collision,,39.0,20.0,,Bachelor,Minor Loss,13.0,2233.0,2000.0,976.0,Full,0.0,3.0,1.0,50.0,3000.0,0.0,1
Parked Car,,29.0,12.0,,Bachelor,Minor Loss,1.0,2520.0,500.0,1265.0,Full,1.0,1.0,1.0,69.0,8000.0,10.0,0
Single Vehicle Collision,Fire,34.0,12.0,1.0,College,Major Damage,7.0,789.0,500.0,1299.0,Full,2.0,1.0,1.0,119.0,45540.0,17.0,0
Single Vehicle Collision,Ambulance,46.0,27.0,-0.0,Masters,Major Damage,18.0,185.0,1000.0,1141.0,Full,0.0,1.0,0.0,296.0,54900.0,2.0,0
Single Vehicle Collision,,61.0,42.0,,PhD,Total Loss,16.0,1219.0,1000.0,901.0,Full,1.0,1.0,0.0,89.0,8000.0,10.0,0
Single Vehicle Collision,Ambulance,25.0,6.0,,Bachelor,Total Loss,18.0,1847.0,1000.0,1114.0,Full,1.0,1.0,-0.0,12.0,4000.0,14.0,0
Multi-vehicle Collision,Fire,36.0,15.0,-0.0,Masters,Total Loss,20.0,310.0,2000.0,1248.0,Full,2.0,3.0,0.0,165.0,45700.0,7.0,0
Single Vehicle Collision,Ambulance,27.0,9.0,,High School,Major Loss,0.0,1135.0,1000.0,1083.0,Full,1.0,1.0,0.0,51.0,2000.0,10.0,0
Parked Car,,64.0,42.0,,Bachelor,Major Loss,18.0,1194.0,500.0,1050.0,Full,0.0,1.0,1.0,43.0,9000.0,15.0,1
Single Vehicle Collision,Fire,37.0,16.0,1.0,JD,Total Loss,20.0,447.0,500.0,1179.0,Full,2.0,1.0,1.0,163.0,49400.0,10.0,0
Single Vehicle Collision,Ambulance,37.0,15.0,1.0,JD,Total Loss,6.0,766.0,500.0,1457.0,Full,2.0,1.0,1.0,188.0,45000.0,12.0,0
Single Vehicle Collision,Police,60.0,44.0,,Bachelor,Major Loss,10.0,1182.0,1000.0,1362.0,Full,1.0,1.0,1.0,8.0,10000.0,16.0,1
Multi-vehicle Collision,,37.0,21.0,,MD,Total Loss,23.0,2543.0,1000.0,842.0,Full,0.0,3.0,1.0,113.0,10000.0,-0.0,0
Single Vehicle Collision,Police,39.0,22.0,1.0,Associate,Minor Damage,10.0,564.0,2000.0,1232.0,Full,-0.0,1.0,0.0,251.0,44240.0,18.0,0
Single Vehicle Collision,Fire,45.0,27.0,0.0,MD,Minor Damage,23.0,914.0,2000.0,1175.0,Full,1.0,1.0,-0.0,259.0,87780.0,4.0,0
Multi-vehicle Collision,Ambulance,42.0,20.0,,MD,Total Loss,3.0,2211.0,1000.0,1615.0,Full,-0.0,4.0,-0.0,89.0,2000.0,1.0,0
Single Vehicle Collision,,49.0,32.0,,Bachelor,Minor Loss,1.0,1240.0,500.0,1068.0,Full,1.0,1.0,0.0,52.0,2000.0,20.0,0
Single Vehicle Collision,Ambulance,34.0,14.0,,High School,Minor Loss,1.0,1997.0,1000.0,1195.0,Full,1.0,1.0,-0.0,96.0,3000.0,6.0,1
Multi-vehicle Collision,Police,36.0,19.0,,High School,Total Loss,15.0,1808.0,2000.0,1227.0,Full,1.0,4.0,1.0,23.0,3000.0,0.0,0
Multi-vehicle Collision,Police,43.0,25.0,0.0,Associate,Minor Damage,9.0,456.0,2000.0,1353.0,Full,2.0,3.0,0.0,264.0,95150.0,8.0,0
Multi-vehicle Collision,Ambulance,47.0,28.0,,High School,Major Loss,16.0,1910.0,2000.0,1657.0,Full,1.0,3.0,1.0,47.0,7000.0,3.0,0
Multi-vehicle Collision,Ambulance,43.0,22.0,,MD,Minor Loss,12.0,1760.0,1000.0,1299.0,Full,1.0,3.0,-0.0,101.0,7000.0,8.0,0
Multi-vehicle Collision,Other,45.0,26.0,1.0,PhD,Total Loss,23.0,432.0,500.0,1188.0,Full,-0.0,3.0,1.0,270.0,54340.0,10.0,0
Single Vehicle Collision,Police,34.0,13.0,1.0,College,Total Loss,10.0,803.0,1000.0,828.0,Full,2.0,1.0,0.0,200.0,56000.0,6.0,1
Single Vehicle Collision,Fire,31.0,14.0,1.0,Associate,Total Loss,13.0,296.0,500.0,1326.0,Full,1.0,1.0,-0.0,123.0,72120.0,6.0,0
Multi-vehicle Collision,Ambulance,29.0,11.0,,High School,Major Loss,20.0,1249.0,2000.0,973.0,Full,1.0,3.0,1.0,106.0,10000.0,8.0,0
Vehicle Theft,,28.0,12.0,-0.0,Associate,Trivial Damage,3.0,245.0,1000.0,774.0,Full,1.0,1.0,-0.0,95.0,3200.0,1.0,0
Multi-vehicle Collision,Ambulance,53.0,32.0,,College,Major Loss,10.0,1218.0,1000.0,1121.0,Full,1.0,3.0,0.0,96.0,7000.0,13.0,0
Multi-vehicle Collision,Ambulance,43.0,25.0,,High School,Total Loss,14.0,2087.0,1000.0,1280.0,Full,1.0,3.0,1.0,32.0,1000.0,8.0,1
Multi-vehicle Collision,Ambulance,25.0,5.0,,MD,Major Loss,1.0,1654.0,1000.0,1024.0,Full,1.0,4.0,-0.0,53.0,3000.0,5.0,1
Multi-vehicle Collision,Police,60.0,40.0,,High School,Minor Loss,14.0,1496.0,2000.0,900.0,Full,1.0,2.0,-0.0,49.0,4000.0,13.0,0
Single Vehicle Collision,Other,44.0,22.0,,College,Major Loss,6.0,1467.0,1000.0,1475.0,Full,0.0,1.0,1.0,48.0,1000.0,9.0,0
Parked Car,Other,52.0,34.0,,High School,Minor Loss,9.0,1150.0,500.0,1583.0,Full,1.0,1.0,1.0,10.0,7000.0,10.0,0
Multi-vehicle Collision,Ambulance,26.0,4.0,,Masters,Minor Loss,8.0,1352.0,1000.0,1180.0,P2,1.0,3.0,1.0,85.0,7000.0,2.0,0
Single Vehicle Collision,Other,33.0,14.0,0.0,College,Minor Damage,4.0,742.0,500.0,1125.0,Full,1.0,1.0,-0.0,100.0,40800.0,11.0,0
Multi-vehicle Collision,Other,33.0,17.0,,Bachelor,Minor Loss,12.0,1665.0,1000.0,1495.0,Full,1.0,3.0,1.0,47.0,3000.0,11.0,0
Single Vehicle Collision,Other,33.0,16.0,,High School,Total Loss,20.0,1627.0,1000.0,918.0,Full,1.0,1.0,1.0,56.0,4000.0,15.0,1
